ID,SPEAKER,CONVERSATION,,ENGLISH,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL),CHINESE (SIMPLIFIED)
357,Evil Gary,Final Boss Outro,,"It's Otto, your friend!","C'est Otto, ton ami !",Ich bin dein Freund Otto!,"¡Soy Otto, tu amigo!","É o Otto, seu amigo!","Это я, Отто, твой друг!",オットーだ、おまえの友だちだ！,"오토야, 네 친구!",我是奥托，你的朋友啊！,我是奧托，你的朋友啊！,我是奥托，你的朋友啊！
358,Barkley,Final Boss Outro,,Bark bark bark!,"Ouaf, ouaf, ouaf !",Wuff wuff wuff!,"¡Guau, guau, guau!",Ralf ralf ralf!,Вуф-вуф! Вуф!,バウバウバウ！,멍 멍 멍!,汪、汪、汪！,汪汪汪！！,汪汪汪！！
359,Evil Gary,Final Boss Outro,,YOUR MASTER!,TON MAÎTRE !,DEIN HERRCHEN!,¡TU DUEÑO!,SEU AMO!,ТВОЙ ХОЗЯИН!,ご主人さまだ！,네  주 인 이 라 고 !,我是你的主人！,我是你的主人！,我是你的主人！
360,Barkley,Final Boss Outro,,Woof!,Ouaf !,Wau!,¡Ruf!,Au!,Гав!,バウーン！,컹!,汪呜！,汪嗚！,汪呜！
361,Evil Gary,Final Boss Outro,,Gahhhhhhhhh!,Aaaaah !,Gaaaaaaaaah!,¡Gaaaaaaaah!,Gahhhhhhhhh!,А-а-а-а-а!,ぐわあああああっ！,으아아아아!,呃啊啊啊啊！！,呃啊啊啊啊！！,呃啊啊啊啊！！
362,Barkley,Final Boss Outro,,Woof!  Woof!,Ouaf !  Ouaf !,Wau!  Wau!,¡Ruf!  ¡Ruf!,Au!  Au!,Вуф!  Вуф!,バウーン！バウーン！,컹!  컹!,汪呜！汪呜！,汪嗚！汪嗚！,汪呜！汪呜！
363,Gary,Log Console 1,,What's this?,Qu'est-ce que c'est ?,Was ist das?,¿Qué es esto?,O que é isso?,Это еще что такое?,これは何だ？,이건 뭐지?,这是什么？,這是什麼？,这是什么？
364,Dr. Heinrich,Log Console 1,,"Laboratory Log of Dr. Heinrich, day 424.","Journal scientifique du Dr Heinrich, jour 424.","Labor-Logbuch von Dr. Heinrich, Tag 424.","Diario del laboratorio del Dr. Heinrich, día 424.","Registro do Laboratório do Dr. Heinrich, dia 424.","Рабочий журнал доктора Хайнриха, день 424.",ハインリッヒ博士の研究日誌、424日目。,"하인리히 박사의 실험실 일지, 424일째.",海因里彻博士的实验室日志，第424天。,海恩里希博士的實驗室日誌，第424天。,海恩里希博士的实验室日志，第424天。
365,Dr. Heinrich,Log Console 1,,This job is very taxing.,Cette mission est très éprouvante.,Diese Arbeit ist sehr beschwerlich.,Este trabajo es agotador.,Este trabalho exige muito de mim.,"Работать здесь куда сложнее, чем я думал.",あまりにつらい仕事だ。,이 일은 아주 힘들군.,这工作太累人了。,這項任務太累人了。,这项任务太累人了。
366,Dr. Heinrich,Log Console 1,,The DEFENSE WEAPONS they have us developing are inhumane!,Les ARMES DÉFENSIVES qu'ils nous demandent de développer sont inhumaines !,"Die VERTEIDIGUNGSWAFFEN, die wir für sie entwickeln sollen, sind unmenschlich!",¡Las ARMAS DE DEFENSA que tenemos que desarrollar son inhumanas!,As ARMAS DE DEFESA que nos mandaram desenvolver são desumanas!,Разработка этого... ОБОРОНИТЕЛЬНОГО ОРУЖИЯ глубоко противна моей природе.,わたしが開発を任された防衛兵器は、 非人道的すぎる！,그들이 만들라고 우리에게 시키는 방어 무기는 비인간적이다!,他们让我们开发的防卫武器太不人道了！,他們讓我們開發的防衛武器太不人道了！,他们让我们开发的防卫武器太不人道了！
367,Dr. Heinrich,Log Console 1,,I cannot understand how that which causes such devastation,Je ne comprends pas comment des engins aussi dévastateurs,"Ich verstehe nicht, wie etwas, das so viel Zerstörung verursacht,",No logro entender cómo algo que causa tal devastación,Não entendo como algo com um efeito tão devastador,"Неужели ""общегалактическая безопасность"" оправдывает",「銀河の安全」という大義のもとなら、,그렇게나 강력한 무기가 왜 필요한지 이해할 수 없다.,我不明白为什么能以“星系安全”为名，,我不明白為什麼能夠造成,我不明白为什么能够造成
368,Dr. Heinrich,Log Console 1,,"could be created in the name of ""galactic security.""","pourraient être créés au nom de la ""sécurité galactique"".","im Namen der ""galaktischen Sicherheit"" erschaffen werden konnte.",puede crearse en nombre de la «seguridad galáctica».,"possa ser criado em nome da ""segurança da galáxia"".","столь ужасные разрушения, столь нечеловеческую жестокость?",これほどの破壊も許されるというのか？,은하계의 안전을 위하여'라고 써두고 만들 수는 있겠지.,造出这种大规模杀伤性武器。,"如此大破壞性的東西會被以""星系安全""的名義造出來。","如此大破坏性的东西会被以""星系安全""的名义造出来。"
369,Dr. Heinrich,Log Console 1,,Not to mention... the Security Personnel.,Et je ne parle même pas... des agents de sécurité.,Ganz zu schweigen vom ... Sicherheitspersonal.,Por no mencionar... al personal de seguridad.,Isso sem falar na... Equipe de Segurança.,И эти охранники...,それとあの...セキュリティ部のやつら。,보안 요원은... 말할 것도 없다.,而且……还有那些保安人员。,更別提...警衛了。,更别提...安保人员了。
370,Dr. Heinrich,Log Console 1,,"They make me feel as if I am back at the Academy,","J'ai l'impression d'être revenu à l'Académie, quand je mangeais seul","Wegen diesen Leuten fühle ich mich, als wäre ich wieder an der Akademie","Me hacen sentir como si estuviera otra vez en la academia,","Eu me sinto como se estivesse de volta à época da Academia,",Я снова чувствую себя студентом.,アカデミーにいた頃を思い出す。,놈들 때문에 마치 학창 시절로 돌아간 기분이다.,他们让我感觉像是回到了学院里一样，,他們讓我覺得好像回到了學院裡，,他们让我觉得好像回到了学院里，
371,Dr. Heinrich,Log Console 1,,eating alone at lunch as they make jokes at my expense.,dans mon coin pendant que tout le monde se moquait de moi.,"und würde alleine zu Mittag essen, während sie Scherze auf meine Kosten machen.",comiendo solo mientras hacen bromas a mi costa.,comendo sozinho no almoço enquanto fazem piadas às minhas custas.,"Я ем один, в углу, пока они отпускают в мой адрес одну глупую шутку за другой.",ひとりで飯を食うわたしを、 皆が笑っていた。,내가 혼자 점심을 먹는 걸 가지고 놀려대니 말이다.,孤零零地一个人吃饭，所有人都在拿我当笑话。,只能一個人孤零零地吃飯，所有人都在開我玩笑。,只能一个人孤零零地吃饭，所有人都在开我玩笑。
372,Dr. Heinrich,Log Console 1,,"Luckily, my contract here expires after one more year.","Heureusement, mon contrat se termine dans un an.","Nur gut, dass mein Vertrag hier nur noch ein Jahr läuft.","Por suerte, mi contrato solo dura un año más.","Felizmente, meu contrato aqui acaba dentro de um ano.","Но ничего, через год мой контракт закончится.",幸い、契約はあと1年で切れる。,"다행히도, 1년만 더 지내면 내 계약도 끝난다.",还好，我的合同还有一年就到期了。,還好，我的合約再一年就到期了。,还好，我的合同再有一年就到期了。
373,Dr. Heinrich,Log Console 1,,I hope that diligence will help the time pass swiftly.,J'espère trouver le temps moins long en me concentrant sur mes recherches.,"Ich hoffe, mein Fleiß wird helfen, die Zeit schnell vergehen zu lassen.",Espero que la diligencia me ayude a que el tiempo pase más deprisa.,Espero que minha diligência ajude a passar o tempo mais depressa.,"Будем надеяться, время пролетит незаметно.",今はその日を待ちわびながら、黙って 職務をこなすとしよう。,부디 내 근면함이 시간이 빨리 지나가는 데 도움을 됐으면 좋겠다.,希望努力工作能帮我过快点日子。,希望我努力工作時，日子能過得快一點。,希望我努力工作时，日子能过得快一点。
374,Dr. Heinrich,Log Console 2,,"Laboratory Log of Dr. Heinrich, day 637.","Journal scientifique du Dr Heinrich, jour 637.","Labor-Logbuch von Dr. Heinrich, Tag 637.","Diario del laboratorio del Dr. Heinrich, día 637.","Registro do Laboratório do Dr. Heinrich, dia 637.","Рабочий журнал доктора Хайнриха, день 637.",ハインリッヒ博士の研究日誌、637日目。,"하인리히 박사의 실험실 일지, 637일째.",海因里彻博士的实验室日志，第637天。,海恩里希博士的實驗室日誌，第637天。,海恩里希博士的实验室日志，第637天。
375,Dr. Heinrich,Log Console 2,,The Robotic Defense Weapons I have been developing are...,Les armes de défense robotisée que j'ai développées sont...,"Die Roboter-Verteidigungswaffen, die ich entwickle, sind ...",Las armas de defensa robótica que he estado desarrollando son...,As Armas de Defesa Robótica que estou desenvolvendo são...,"Я знаю, мои Средства Механической Обороны чудовищны и негуманны, но...",わたしが造っている ロボット防衛兵器は...,내가 개발해온 로봇형 방어 무기는...,我在开发的机械防卫武器真的……,我正在開發的機械防衛武器簡直...,我正在开发的机械防卫武器简直...
376,Dr. Heinrich,Log Console 2,,terrifying.,terrifiantes.,furchterregend.,terroríficas.,aterrorizantes.,но я горжусь ими.,恐ろしいものだ。,정말이지 무시무시하다.,太可怕了。,太恐怖了。,太恐怖了。
377,Dr. Heinrich,Log Console 2,,"That being said, I can't rid myself of a feeling of pride.","Cela dit, je ne peux pas m'empêcher de ressentir une certaine fierté.","Doch ich kann nicht umhin, Stolz zu verspüren.","Dicho esto, no dejo de sentir cierto orgullo.","No entanto, não consigo deixar de me orgulhar.","Гордость переполняет меня, когда я на них смотрю.",その一方で、誇りにも思う。,"솔직히 말해서, 나 스스로가 이런 걸 만들었다는 게 대단하다고 생각된다.",话虽如此，但我仍免不了感到一丝骄傲。,話雖如此，我仍然不可避免地感到一絲驕傲。,话虽如此，我仍然不可避免地感到一丝骄傲。
378,Dr. Heinrich,Log Console 2,,"I truly am an excellent engineer. Despite that,","Je suis un ingénieur de génie. Malgré tout,",Ich bin wirklich ein ausgezeichneter Ingenieur. Und trotzdem,"La verdad es que soy un ingeniero excelente. A pesar de eso,","Realmente sou um excelente engenheiro. Contudo,",Я - блестящий инженер. И все же,わたしは真に優れた科学者だとな。 それなのに...,"나는 정말 훌륭한 기술자다. 그럼에도 불구하고,",我是真正的优秀工程师。但仅管如此，,我的確是名優秀的工程師。但僅管如此，,我的确是名优秀的工程师。但仅管如此，
379,Dr. Heinrich,Log Console 2,,they still send ME instead of the maintenance crew,c'est toujours MOI qu'ils envoient réparer ce maudit,schicken sie nach wie vor MICH anstelle der Wartungsmannschaft,"siguen enviándome A MÍ, en lugar de al equipo de mantenimiento,",eles insistem em me enviar no lugar da equipe de manutenção,"именно меня, МЕНЯ, а не ремонтников,",あいつらは整備係ではなく、 このわたしを...,그들은 이 고장 난 히터 코어를 수리하는데,他们还是把我当维修工，,他們還是派了我，而不是維修小組,他们还是派了我，而不是维修小组
380,Dr. Heinrich,Log Console 2,,to repair this faulty Heater Core.,module de chauffage à la place des agents d'entretien.,zur Reparatur dieses fehlerhaften Wärmetauschers.,cuando hay que reparar las averías del núcleo calefactor.,para consertar o Núcleo de Calefação defeituoso.,"послали посмотреть, что там сломалось в Нагревательном ядре.",加熱炉の修理に送り込んだ。,정비사 대신 나를 보낸다.,让我去修理这个故障了的热核。,來修理這個故障了的加熱核心。,来修理这个故障了的加热核心。
